Diâmetro [mm],Tempo [s]
84,14:30:06
84,14:30:07
84,14:30:08
84,14:30:08
87,14:30:09
81,14:30:10
87,14:30:12
90,14:30:13
87,14:30:14
87,14:30:15
84,14:30:15
87,14:30:16
90,14:30:17
90,14:30:18
87,14:30:19
84,14:30:19
93,14:30:20
81,14:30:21
81,14:30:21
81,14:30:22
90,14:30:23
78,14:30:23
90,14:30:24
81,14:30:25
81,14:30:25
87,14:30:26
87,14:30:27
84,14:30:28
78,14:30:28
84,14:30:29
129,14:30:30
129,14:30:30
129,14:30:31
138,14:30:32
144,14:30:33
135,14:30:33
87,14:30:34
90,14:30:35
147,14:30:35
141,14:30:36
141,14:30:37
156,14:30:38
147,14:30:38
144,14:30:39
156,14:30:40
153,14:30:40
159,14:30:41
153,14:30:42
168,14:30:43
162,14:30:43
162,14:30:44
162,14:30:45
153,14:30:46
159,14:30:46
147,14:30:47
159,14:30:48
153,14:30:49
138,14:30:49
150,14:30:50
144,14:30:51
156,14:30:51
153,14:30:52
156,14:30:54
156,14:30:54
156,14:30:55
156,14:30:56
153,14:30:57
156,14:30:58
153,14:30:59
156,14:31:00
156,14:31:01
156,14:31:02
156,14:31:03
156,14:31:03
153,14:31:04
153,14:31:05
150,14:31:06
150,14:31:07
150,14:31:08
147,14:31:08
147,14:31:09
150,14:31:10
153,14:31:11
153,14:31:11
147,14:31:12
150,14:31:13
153,14:31:13
150,14:31:14
153,14:31:15
150,14:31:16
150,14:31:17
150,14:31:18
150,14:31:19
150,14:31:20
150,14:31:21
153,14:31:21
153,14:31:22
147,14:31:23
150,14:31:24
147,14:31:24
153,14:31:25
150,14:31:26
153,14:31:27
153,14:31:28
153,14:31:28
153,14:31:29
153,14:31:30
156,14:31:30
153,14:31:31
153,14:31:32
153,14:31:32
153,14:31:33
153,14:31:34
153,14:31:35
153,14:31:35
153,14:31:36
153,14:31:37
153,14:31:37
153,14:31:38
153,14:31:38
153,14:31:39
153,14:31:40
156,14:31:40
156,14:31:41
156,14:31:42
156,14:31:42
156,14:31:43
153,14:31:44
153,14:31:44
153,14:31:45
153,14:31:46
153,14:31:46
153,14:31:47
153,14:31:48
153,14:31:48
153,14:31:49
150,14:31:49
153,14:31:50
153,14:31:51
153,14:31:51
153,14:31:52
150,14:31:53
153,14:31:53
153,14:31:54
147,14:31:54
150,14:31:55
150,14:31:56
150,14:31:56
147,14:31:57
147,14:31:58
150,14:31:58
150,14:31:59
147,14:32:00
150,14:32:00
150,14:32:01
150,14:32:01
153,14:32:02
150,14:32:03
153,14:32:03
144,14:32:04
147,14:32:05
147,14:32:05
150,14:32:06
150,14:32:07
153,14:32:07
150,14:32:08
153,14:32:08
153,14:32:09
156,14:32:10
156,14:32:10
153,14:32:11
144,14:32:12
156,14:32:12
150,14:32:13
153,14:32:14
153,14:32:14
153,14:32:15
153,14:32:15
153,14:32:16
153,14:32:17
153,14:32:17
156,14:32:18
153,14:32:19
153,14:32:19
153,14:32:20
156,14:32:21
159,14:32:21
153,14:32:22
156,14:32:22
153,14:32:23
156,14:32:24
156,14:32:24
156,14:32:25
156,14:32:26
159,14:32:26
156,14:32:27
138,14:32:28
153,14:32:29
156,14:32:30
153,14:32:30
150,14:32:31
150,14:32:32
150,14:32:33
153,14:32:33
153,14:32:34
150,14:32:35
153,14:32:35
153,14:32:36
153,14:32:37
153,14:32:38
147,14:32:38
153,14:32:39
150,14:32:39
156,14:32:40
150,14:32:41
144,14:32:41
141,14:32:42
147,14:32:43
150,14:32:43
147,14:32:44
150,14:32:45
150,14:32:45
147,14:32:46
144,14:32:47
150,14:32:47
141,14:32:48
150,14:32:49
147,14:32:49
147,14:32:50
144,14:32:50
150,14:32:51
153,14:32:52
153,14:32:52
150,14:32:53
156,14:32:54
144,14:32:54
150,14:32:55
153,14:32:56
153,14:32:56
168,14:32:57
156,14:32:58
159,14:32:58
144,14:32:59
150,14:33:00
159,14:33:00
159,14:33:01
159,14:33:02
156,14:33:02
159,14:33:03
159,14:33:03
